dataset_type,policy_name,policy_version,case_name,episode_id,step,x,y,direction,next_x,next_y,next_direction,front_blocked,left_blocked,right_blocked,true_front_blocked,true_left_blocked,true_right_blocked,distance_to_goal,dx_to_goal,dy_to_goal,action,reward,done,episode_success,is_demonstration_accepted
heuristic_demonstration,obstacle_aware_goal,v0.4.2,loop_trap_8x8,v0_5_loop_trap_8x8_5,30,6,0,west,5,0,west,0,0,1,0,0,1,1,0,1,forward,-1.10,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,loop_trap_8x8,v0_5_loop_trap_8x8_5,31,5,0,west,5,0,south,1,0,1,1,0,1,2,1,1,turn_left,-0.20,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,loop_trap_8x8,v0_5_loop_trap_8x8_5,32,5,0,south,5,1,south,0,0,1,0,0,1,2,1,1,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,loop_trap_8x8,v0_5_loop_trap_8x8_5,33,5,1,south,5,2,south,0,0,1,0,0,1,1,1,0,forward,-1.10,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,loop_trap_8x8,v0_5_loop_trap_8x8_5,34,5,2,south,5,3,south,0,0,1,0,0,1,2,1,-1,forward,-1.10,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,loop_trap_8x8,v0_5_loop_trap_8x8_5,35,5,3,south,5,4,south,0,0,0,0,0,0,3,1,-2,forward,-1.10,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,loop_trap_8x8,v0_5_loop_trap_8x8_5,36,5,4,south,5,5,south,0,0,0,0,0,0,4,1,-3,forward,-1.10,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,loop_trap_8x8,v0_5_loop_trap_8x8_5,37,5,5,south,5,6,south,0,0,0,0,0,0,5,1,-4,forward,-1.10,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,loop_trap_8x8,v0_5_loop_trap_8x8_5,38,5,6,south,5,6,east,0,0,0,0,0,0,6,1,-5,turn_left,-0.20,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,loop_trap_8x8,v0_5_loop_trap_8x8_5,39,5,6,east,6,6,east,0,0,0,0,0,0,6,1,-5,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,loop_trap_8x8,v0_5_loop_trap_8x8_5,40,6,6,east,6,6,north,0,0,0,0,0,0,5,0,-5,turn_left,-0.20,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,loop_trap_8x8,v0_5_loop_trap_8x8_5,41,6,6,north,6,5,north,0,0,0,0,0,0,5,0,-5,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,loop_trap_8x8,v0_5_loop_trap_8x8_5,42,6,5,north,6,4,north,0,0,0,0,0,0,4,0,-4,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,loop_trap_8x8,v0_5_loop_trap_8x8_5,43,6,4,north,6,3,north,0,0,0,0,0,0,3,0,-3,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,loop_trap_8x8,v0_5_loop_trap_8x8_5,44,6,3,north,6,2,north,0,0,0,0,0,0,2,0,-2,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,loop_trap_8x8,v0_5_loop_trap_8x8_5,45,6,2,north,6,1,north,0,0,0,0,0,0,1,0,-1,forward,10.00,1,1,true
