dataset_type,policy_name,policy_version,case_name,episode_id,step,x,y,direction,next_x,next_y,next_direction,front_blocked,left_blocked,right_blocked,true_front_blocked,true_left_blocked,true_right_blocked,distance_to_goal,dx_to_goal,dy_to_goal,action,reward,done,episode_success,is_demonstration_accepted
heuristic_demonstration,obstacle_aware_goal,v0.4.2,consecutive_turns,v0_5_consecutive_turns_6,14,7,1,south,7,2,south,0,1,0,0,1,0,4,-1,3,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,consecutive_turns,v0_5_consecutive_turns_6,15,7,2,south,7,3,south,0,1,0,0,1,0,3,-1,2,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,consecutive_turns,v0_5_consecutive_turns_6,16,7,3,south,7,4,south,0,1,0,0,1,0,2,-1,1,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,consecutive_turns,v0_5_consecutive_turns_6,17,7,4,south,7,5,south,0,1,0,0,1,0,1,-1,0,forward,-1.10,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,consecutive_turns,v0_5_consecutive_turns_6,18,7,5,south,7,6,south,0,1,0,0,1,0,2,-1,-1,forward,-1.10,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,consecutive_turns,v0_5_consecutive_turns_6,19,7,6,south,7,7,south,0,1,0,0,1,0,3,-1,-2,forward,-1.10,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,consecutive_turns,v0_5_consecutive_turns_6,20,7,7,south,7,7,west,1,1,0,1,1,0,4,-1,-3,turn_right,-0.20,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,consecutive_turns,v0_5_consecutive_turns_6,21,7,7,west,6,7,west,0,1,0,0,1,0,4,-1,-3,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,consecutive_turns,v0_5_consecutive_turns_6,22,6,7,west,5,7,west,0,1,0,0,1,0,3,0,-3,forward,-1.10,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,consecutive_turns,v0_5_consecutive_turns_6,23,5,7,west,4,7,west,0,1,0,0,1,0,4,1,-3,forward,-1.10,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,consecutive_turns,v0_5_consecutive_turns_6,24,4,7,west,3,7,west,0,1,0,0,1,0,5,2,-3,forward,-1.10,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,consecutive_turns,v0_5_consecutive_turns_6,25,3,7,west,2,7,west,0,1,0,0,1,0,6,3,-3,forward,-1.10,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,consecutive_turns,v0_5_consecutive_turns_6,26,2,7,west,1,7,west,0,1,0,0,1,0,7,4,-3,forward,-1.10,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,consecutive_turns,v0_5_consecutive_turns_6,27,1,7,west,0,7,west,0,1,0,0,1,0,8,5,-3,forward,-1.10,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,consecutive_turns,v0_5_consecutive_turns_6,28,0,7,west,0,7,north,1,1,0,1,1,0,9,6,-3,turn_right,-0.20,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,consecutive_turns,v0_5_consecutive_turns_6,29,0,7,north,0,6,north,0,1,0,0,1,0,9,6,-3,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,consecutive_turns,v0_5_consecutive_turns_6,30,0,6,north,0,5,north,0,1,0,0,1,0,8,6,-2,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,consecutive_turns,v0_5_consecutive_turns_6,31,0,5,north,0,4,north,0,1,0,0,1,0,7,6,-1,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,consecutive_turns,v0_5_consecutive_turns_6,32,0,4,north,0,3,north,0,1,0,0,1,0,6,6,0,forward,-1.10,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,consecutive_turns,v0_5_consecutive_turns_6,33,0,3,north,0,2,north,0,1,0,0,1,0,7,6,1,forward,-1.10,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,consecutive_turns,v0_5_consecutive_turns_6,34,0,2,north,0,1,north,0,1,0,0,1,0,8,6,2,forward,-1.10,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,consecutive_turns,v0_5_consecutive_turns_6,35,0,1,north,0,0,north,0,1,0,0,1,0,9,6,3,forward,-1.10,0,1,true
